,i,date,open,close,low,high,total_volume,order_book_id,basic_line,label
0,0,"('IF88', Timestamp('2022-01-04 09:31:00'))",4960,4954.4,4953.6,4966,1994,IF88,4940,0
1,20,"('IF88', Timestamp('2022-01-04 09:51:00'))",4921.8,4919.6,4918.8,4922.4,12853,IF88,4920,0
2,35,"('IF88', Timestamp('2022-01-04 10:06:00'))",4906.8,4900,4898.8,4906.8,5884,IF88,4900,0
3,45,"('IF88', Timestamp('2022-01-04 10:16:00'))",4883.4,4880.8,4875.4,4883.4,6061,IF88,4880,1
4,117,"('IF88', Timestamp('2022-01-04 11:28:00'))",4898.4,4900.6,4898.2,4903.2,17522,IF88,4900,1
5,141,"('IF88', Timestamp('2022-01-04 13:22:00'))",4915,4921.6,4915,4921.6,5906,IF88,4920,0
6,274,"('IF88', Timestamp('2022-01-05 10:05:00'))",4902,4899.4,4898.4,4902.4,33496,IF88,4900,1
7,321,"('IF88', Timestamp('2022-01-05 10:52:00'))",4914.8,4920.4,4914.8,4921.4,14027,IF88,4920,0
8,355,"('IF88', Timestamp('2022-01-05 11:26:00'))",4903.2,4900,4899.4,4903.2,9546,IF88,4900,0
9,383,"('IF88', Timestamp('2022-01-05 13:24:00'))",4882.2,4877.2,4877,4883.4,6732,IF88,4880,0
10,395,"('IF88', Timestamp('2022-01-05 13:36:00'))",4861.4,4857.8,4855.2,4861.4,6356,IF88,4860,1
11,426,"('IF88', Timestamp('2022-01-05 14:07:00'))",4878.8,4875.2,4875.2,4880.4,7753,IF88,4880,0
12,480,"('IF88', Timestamp('2022-01-06 09:31:00'))",4860.2,4861,4857.6,4865,12720,IF88,4860,0
13,493,"('IF88', Timestamp('2022-01-06 09:44:00'))",4844,4838.2,4838,4845,10085,IF88,4840,0
14,517,"('IF88', Timestamp('2022-01-06 10:08:00'))",4824,4819.6,4819,4824,10089,IF88,4820,0
15,527,"('IF88', Timestamp('2022-01-06 10:18:00'))",4803,4799.8,4796.2,4803.4,5107,IF88,4800,1
16,576,"('IF88', Timestamp('2022-01-06 11:07:00'))",4817,4819.4,4816.6,4821,15705,IF88,4820,1
17,721,"('IF88', Timestamp('2022-01-07 09:32:00'))",4838,4842,4838,4842.8,28080,IF88,4840,1
18,856,"('IF88', Timestamp('2022-01-07 13:17:00'))",4859.6,4860.8,4859.2,4861,35725,IF88,4860,0
19,920,"('IF88', Timestamp('2022-01-07 14:21:00'))",4842.6,4839.8,4838.8,4842.6,11071,IF88,4840,0
20,960,"('IF88', Timestamp('2022-01-10 09:31:00'))",4822,4817.4,4815.2,4827.2,10186,IF88,4820,1
21,964,"('IF88', Timestamp('2022-01-10 09:35:00'))",4833.4,4834.2,4833.4,4841,3926,IF88,4840,0
22,966,"('IF88', Timestamp('2022-01-10 09:37:00'))",4827.6,4814.6,4812.4,4827.6,1371,IF88,4820,0
23,973,"('IF88', Timestamp('2022-01-10 09:44:00'))",4801.4,4796.8,4795.6,4802,5136,IF88,4800,1
24,988,"('IF88', Timestamp('2022-01-10 09:59:00'))",4816.2,4820,4815.8,4821,8605,IF88,4820,1
25,997,"('IF88', Timestamp('2022-01-10 10:08:00'))",4837,4841,4837,4841.4,3995,IF88,4840,0
26,1276,"('IF88', Timestamp('2022-01-11 10:47:00'))",4824,4822,4818,4824,63081,IF88,4820,0
27,1419,"('IF88', Timestamp('2022-01-11 14:40:00'))",4800,4799.4,4799.4,4803.4,22702,IF88,4800,1
28,1440,"('IF88', Timestamp('2022-01-12 09:31:00'))",4822,4827.2,4821.4,4831.2,7284,IF88,4820,1
29,1494,"('IF88', Timestamp('2022-01-12 10:25:00'))",4833.8,4838,4833.8,4841,18366,IF88,4840,0
30,1532,"('IF88', Timestamp('2022-01-12 11:03:00'))",4823,4822.4,4819,4823,6375,IF88,4820,1
31,1600,"('IF88', Timestamp('2022-01-12 13:41:00'))",4837.8,4839.6,4837.4,4840.4,8339,IF88,4840,1
32,1620,"('IF88', Timestamp('2022-01-12 14:01:00'))",4856.2,4859.4,4856.2,4862.8,8411,IF88,4860,0
33,1690,"('IF88', Timestamp('2022-01-13 09:41:00'))",4841.4,4838.2,4837.6,4842,24655,IF88,4840,0
34,1783,"('IF88', Timestamp('2022-01-13 11:14:00'))",4820.8,4820.6,4819.4,4822.2,23163,IF88,4820,0
35,1814,"('IF88', Timestamp('2022-01-13 13:15:00'))",4803,4798.6,4797,4803,6214,IF88,4800,0
36,1847,"('IF88', Timestamp('2022-01-13 13:48:00'))",4782,4779.6,4779,4783.8,9491,IF88,4780,0
37,1920,"('IF88', Timestamp('2022-01-14 09:31:00'))",4753.2,4751.2,4747.2,4757,20123,IF88,4760,0
38,1921,"('IF88', Timestamp('2022-01-14 09:32:00'))",4750.8,4741.4,4738.4,4750.8,1891,IF88,4740,1
39,1952,"('IF88', Timestamp('2022-01-14 10:03:00'))",4755.4,4760.4,4753.2,4762.2,16655,IF88,4760,0
40,2014,"('IF88', Timestamp('2022-01-14 11:05:00'))",4740.8,4737.2,4737,4741,13709,IF88,4740,1
41,2059,"('IF88', Timestamp('2022-01-14 13:20:00'))",4756.4,4761.2,4756,4762,5869,IF88,4760,0
42,2103,"('IF88', Timestamp('2022-01-14 14:04:00'))",4740.8,4740.4,4739.4,4742.4,5846,IF88,4740,1
43,2171,"('IF88', Timestamp('2022-01-17 09:42:00'))",4754.8,4760,4754.8,4760.6,22698,IF88,4760,1
44,2286,"('IF88', Timestamp('2022-01-17 13:07:00'))",4775.8,4780.8,4775.6,4782,28645,IF88,4780,0
45,2400,"('IF88', Timestamp('2022-01-18 09:31:00'))",4760,4758.4,4750,4766.6,16978,IF88,4760,1
46,2410,"('IF88', Timestamp('2022-01-18 09:41:00'))",4776,4782.2,4776,4784.4,7670,IF88,4780,1
47,2455,"('IF88', Timestamp('2022-01-18 10:26:00'))",4799.4,4797.8,4797.6,4800.8,15937,IF88,4800,1
48,2488,"('IF88', Timestamp('2022-01-18 10:59:00'))",4814.4,4820.6,4813.4,4821.2,7995,IF88,4820,0
49,2528,"('IF88', Timestamp('2022-01-18 13:09:00'))",4800.4,4799.6,4797.6,4801.8,11434,IF88,4800,1
50,2640,"('IF88', Timestamp('2022-01-19 09:31:00'))",4818.2,4826.8,4814.4,4826.8,15574,IF88,4820,0
51,2663,"('IF88', Timestamp('2022-01-19 09:54:00'))",4804.2,4795.8,4795.6,4804.2,15229,IF88,4800,0
52,2771,"('IF88', Timestamp('2022-01-19 13:12:00'))",4781.4,4779.8,4778.6,4782.2,20928,IF88,4780,1
53,2881,"('IF88', Timestamp('2022-01-20 09:32:00'))",4796.4,4789.2,4789.2,4804.8,20813,IF88,4800,1
54,2890,"('IF88', Timestamp('2022-01-20 09:41:00'))",4817.6,4816.4,4813.6,4820,6409,IF88,4820,0
